Expt,site,block,plot_1,plot_2,N,P,K,Treatment,cup_no,pctC,pctN,CN-Samp-Code,TotC.gC,TotC.mgC,TotC.mgg,TotN.gN,TotN.mgN,TotN.mgg,SitexBlockxPlot,ID_indiv_reps,SitexTrt,ID,resp_day_0,cup_wt_g,fresh-soil_wt_g,dry-soil_wt_1_g,dry-soil_wt_2_g,dry-soil_final_wt_g,sample_volume_ml_11-17-12,jar_volume_ml,jar_volume_L,mmol_air_first-draw,mmol_air_second-draw,mmol_air_third-draw,Date_0,Hours_0,Minutes_0,Seconds_0,time-calc-1,time-calc-2,days-since-incub-start_0,seconds-from-midnight_d0,Area_0,ppm_0,mgC-CO2_0,notes_0,Date_1,Hours_1,Minutes_1,Seconds_1,time-calc-1,time-calc-2,seconds-from-midnight_d0,Area_1,days-since-incub-start_1,ppm_1,mgC-CO2_1,seconds-elapsed_0-1,hours-elapsed_0-1,days-elapsed_0-1,mgC-CO2-pergsoil-perday_1,mgC-CO2-pergsoil-perday_1_w_NA,notes_1,Date_2,Hours_2,Minutes_2,Seconds_2,time-calc-1,time-calc-2,seconds-from-midnight_d0,Area_2,days-since-incub-start_2,ppm_2,mgC-CO2_2,seconds-elapsed_0-2,hours-elapsed_0-2,days-elapsed_0-1,mgC-CO2-pergsoil-perday_2,mgC-CO2-pergsoil-perday_2_w_NA,notes_2,INCUB_DAYS,NOTES,RESP_C
NutNet,cbgb.nutnet,1,1,,0,0,0,Control,236,0.707,0.056,CER-147,0.340388102,340.3881017,7.07,0.026961434,26.96143379,0.56,cbgb.nutnetb1p1,1,cbgb.nutnetControl,1,41154,8.884,49.257,48.17213822,48.14541749,48.14541749,40,960,0.96,39.90852708,39.65909878,39.40967049,41154,17,17,0,,,0,62220,372.5,485.723675,0.232614197,,41155,18,25,40,,,152740,954.3,1,1264.945741,0.601999297,90520,25.14444444,1.047685185,0.007323077,0.007323077,,,,,,,,,,-41154,,0,,0,0,#DIV/0!,#DIV/0!,,1,0,0.007323077
NutNet,cbgb.nutnet,1,1,,0,0,0,Control,236,0.707,0.056,CER-147,0.340388102,340.3881017,7.07,0.026961434,26.96143379,0.56,cbgb.nutnetb1p1,1,cbgb.nutnetControl,1,41154,8.884,49.257,48.17213822,48.14541749,48.14541749,40,960,0.96,39.90852708,39.65909878,39.40967049,41158,,,,2,,4,44468.07692,454.6,571.5091101,0.273697042,,41159,,,,26,,127072.5806,1227,5,1610.283107,0.766348522,82604.50372,22.94569548,0.956070645,0.010702737,0.010702737,,,,,,,,,,-41154,,0,,0,0,#DIV/0!,#DIV/0!,,5,0,0.010702737
NutNet,cbgb.nutnet,1,1,,0,0,0,Control,236,0.707,0.056,CER-147,0.340388102,340.3881017,7.07,0.026961434,26.96143379,0.56,cbgb.nutnetb1p1,1,cbgb.nutnetControl,1,41154,8.884,49.257,48.17213822,48.14541749,48.14541749,40,960,0.96,39.90852708,39.65909878,39.40967049,41166,10,2,0,48,-635.024022,12,36120,369.1,807.1060937,0.386524985,,41167,10,43,20,48,-587.4737788,125000,793.5,13,1838.48339,0.874951132,88880,24.68888889,1.028703704,0.009861742,0.009861742,,,,,,,,,,-41154,,0,,0,0,#DIV/0!,#DIV/0!,,13,0,0.009861742
NutNet,cbgb.nutnet,1,1,,0,0,0,Control,236,0.707,0.056,CER-147,0.340388102,340.3881017,7.07,0.026961434,26.96143379,0.56,cbgb.nutnetb1p1,1,cbgb.nutnetControl,1,41154,8.884,49.257,48.17213822,48.14541749,48.14541749,40,960,0.96,39.90852708,39.65909878,39.40967049,41170,,,,48,,16,59935,348.3,743.3544156,0.355994158,,41171,,,,48,,149912.3333,751.6,17,1697.887158,0.808040094,89977.33333,24.9937037,1.041404321,0.009015882,0.009015882,,41172,,,,48,,213484.0909,1064,18,2383.989829,1.134562658,153549.0909,42.65252525,1.777188552,0.009099308,0.009099308,,18,0,0.009099308
NutNet,cbgb.nutnet,1,1,,0,0,0,Control,236,0.707,0.056,CER-147,0.340388102,340.3881017,7.07,0.026961434,26.96143379,0.56,cbgb.nutnetb1p1,1,cbgb.nutnetControl,1,41154,8.884,49.257,48.17213822,48.14541749,48.14541749,40,960,0.96,39.90852708,39.65909878,39.40967049,41176,,,,3,,22,54650,249.2,492.8259902,0.236015513,,,,,,,,,,-41154,,0,,0,0,#DIV/0!,#DIV/0!,,41178,,,,48,,238593.3333,1401,24,1894.445505,0.901584017,183943.3333,51.09537037,2.128973765,0.00649333,0.00649333,,24,0,0.00649333
NutNet,cbgb.nutnet,1,1,,0,0,0,Control,236,0.707,0.056,CER-147,0.340388102,340.3881017,7.07,0.026961434,26.96143379,0.56,cbgb.nutnetb1p1,1,cbgb.nutnetControl,1,41154,8.884,49.257,48.17213822,48.14541749,48.14541749,40,960,0.96,39.90852708,39.65909878,39.40967049,41187,,,,122,,33,57835.52239,398.5,533.1495098,0.25532654,,,,,,,,,,-41154,,0,,0,0,#DIV/0!,#DIV/0!,,41189,,,,122,,224572.6866,1521,35,1946.617076,0.926412947,166737.1642,46.31587894,1.929828289,0.007222787,0.007222787,,35,0,0.007222787
NutNet,cbgb.nutnet,1,1,,0,0,0,Control,236,0.707,0.056,CER-147,0.340388102,340.3881017,7.07,0.026961434,26.96143379,0.56,cbgb.nutnetb1p1,1,cbgb.nutnetControl,1,41154,8.884,49.257,48.17213822,48.14541749,48.14541749,40,960,0.96,39.90852708,39.65909878,39.40967049,41195,,,,122,,41,66161.62088,337.4,489.062773,0.234213299,,,,,,,,,,-41154,,0,,0,0,#DIV/0!,#DIV/0!,,41197,,,,122,,225143.4066,1381,43,1707.678158,0.812699721,158981.7857,44.16160714,1.840066964,0.006529871,0.006529871,,43,0,0.006529871
NutNet,cbgb.nutnet,1,1,,0,0,0,Control,236,0.707,0.056,CER-147,0.340388102,340.3881017,7.07,0.026961434,26.96143379,0.56,cbgb.nutnetb1p1,1,cbgb.nutnetControl,1,41154,8.884,49.257,48.17213822,48.14541749,48.14541749,40,960,0.96,39.90852708,39.65909878,39.40967049,41201,,,,122,,47,38527.72388,512.6,629.117331,0.301285752,,,,,,,,,,-41154,,0,,0,0,#DIV/0!,#DIV/0!,,41203,,,,122,,208902.3881,1490,49,1820.39474,0.866342578,170374.6642,47.32629561,1.971928984,0.005951767,0.005951767,,49,0,0.005951767
NutNet,cbgb.nutnet,1,1,,0,0,0,Control,236,0.707,0.056,CER-147,0.340388102,340.3881017,7.07,0.026961434,26.96143379,0.56,cbgb.nutnetb1p1,1,cbgb.nutnetControl,1,41154,8.884,49.257,48.17213822,48.14541749,48.14541749,40,960,0.96,39.90852708,39.65909878,39.40967049,41215,,,,50,,61,49021.6791,423.7,572.3735409,0.274111019,,,,,,,,,,-41154,,0,,0,0,#DIV/0!,#DIV/0!,,41217,,,,122,,217420.0971,1223,63,1669.774198,0.794660878,168398.418,46.77733833,1.949055764,0.005547319,0.005547319,,63,0,0.005547319
NutNet,cbgb.nutnet,1,1,,0,0,0,Control,236,0.707,0.056,CER-147,0.340388102,340.3881017,7.07,0.026961434,26.96143379,0.56,cbgb.nutnetb1p1,1,cbgb.nutnetControl,1,41154,8.884,49.257,48.17213822,48.14541749,48.14541749,40,960,0.96,39.90852708,39.65909878,39.40967049,41224,,,,122,,70,53174.92718,412,565.8660085,0.270994547,,,,,,,,,,-41154,,0,,0,0,#DIV/0!,#DIV/0!,,41226,,,,,,236986.1165,1062,72,1478.931654,0.703837159,183811.1893,51.0586637,2.127444321,0.004225877,0.004225877,,72,0,0.004225877
